url, status_code
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=122, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=123, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=124, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=125, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=126, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=127, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=128, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=129, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=130, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=131, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=132, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=133, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=134, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=135, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=136, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=137, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=138, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=139, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=140, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=141, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=142, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=143, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=144, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=145, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=146, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=147, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=148, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=149, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=150, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=151, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=152, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=153, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=154, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=155, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=156, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=157, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=158, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=159, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=160, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=161, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=162, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=163, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=164, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=165, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=166, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=167, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=168, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=169, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=170, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=171, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=172, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=173, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=174, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=175, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=176, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=177, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=178, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=179, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=180, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=181, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=182, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=183, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=184, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=185, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=186, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=187, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=188, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=189, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=190, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=191, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=192, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=193, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=194, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=195, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=196, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=197, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=198, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=199, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=200, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=201, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=202, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=203, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=204, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=205, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=206, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=207, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=208, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=209, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=210, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=211, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=212, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=213, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=214, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=215, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=216, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=217, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=218, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=219, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=220, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=221, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=222, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=223, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=224, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=225, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=226, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=227, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=228, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=229, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=230, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=231, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=232, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=233, 200
